92 86 1
53 67 1

92 86 1
114 126 1

92 86 1
93 25 1

92 86 2
142 94 2

92 86 1
78 119 1

92 86 1
140 84 1

92 86 1
134 51 1

92 86 2
35 95 2

170 37 1
193 59 1

170 37 1
208 39 1

170 37 1
134 51 1

229 75 2
193 59 2

229 75 1
142 94 1

229 75 1
208 39 1

53 67 1
93 25 1

53 67 1
35 95 1

114 126 1
142 94 1

114 126 1
78 119 1

193 59 2
142 94 2

193 59 1
208 39 1

142 94 1
140 84 1

78 119 1
35 95 1

321 -40 1
282 -59 1

321 -40 1
343 0 1

321 -40 1
322 -101 1

321 -40 2
371 -32 2

321 -40 1
307 -7 1

321 -40 1
369 -42 1

321 -40 1
363 -75 1

321 -40 2
264 -31 2

399 -89 1
422 -67 1

399 -89 1
437 -87 1

399 -89 1
363 -75 1

458 -51 2
422 -67 2

458 -51 1
371 -32 1

458 -51 1
437 -87 1

282 -59 1
322 -101 1

282 -59 1
264 -31 1

343 0 1
371 -32 1

343 0 1
307 -7 1

422 -67 2
371 -32 2

422 -67 1
437 -87 1

371 -32 1
369 -42 1

307 -7 1
264 -31 1

